Ticket Id,Student or WP,Program Name,Status (Ticket),Created Time (Ticket),Ticket Closed Time,First Response Time,Project Phase,day_of_week,hour,day_number,week_num,month,days_since_last_ticket
6760.0,Student,Fullstack Program,Closed,2021-05-17 00:44:00,18-05-2021 20:16,18-05-2021 19:24,fullstack-phase-3,Monday,0.0,17.0,20,5.0,1906.0
6766.0,Working Professionals,Fullstack Program,Duplicate,2021-05-17 08:13:00,19-05-2021 21:55,18-05-2021 18:20,fullstack-phase-1,Monday,8.0,17.0,20,5.0,1906.0
6775.0,Working Professionals,Backend Program,Duplicate,2021-05-17 10:26:00,18-05-2021 18:50,18-05-2021 19:25,fullstack-phase-1,Monday,10.0,17.0,20,5.0,1906.0
6755.0,Working Professionals,Fellowship Program,Closed,2021-05-16 23:12:00,18-05-2021 22:54,16-05-2021 23:28,fellowship-phase-1,Sunday,23.0,16.0,19,5.0,1906.0
6759.0,Working Professionals,Backend Program,Closed,2021-05-17 00:33:00,18-05-2021 19:12,18-05-2021 18:16,backend-phase2,Monday,0.0,17.0,20,5.0,1906.0
6762.0,Working Professionals,Fullstack Program,Duplicate,2021-05-17 03:27:00,18-05-2021 15:10,,fullstack-phase-1,Monday,3.0,17.0,20,5.0,1906.0
6790.0,Student,Fullstack Program,Closed,2021-05-17 12:24:00,20-05-2021 11:25,18-05-2021 18:20,fullstack-phase-1,Monday,12.0,17.0,20,5.0,1905.0
6767.0,Working Professionals,Fullstack Program,Closed,2021-05-17 08:43:00,18-05-2021 23:29,18-05-2021 18:17,fullstack-phase-3,Monday,8.0,17.0,20,5.0,1906.0
6781.0,Working Professionals,Backend Program,Closed,2021-05-17 11:20:00,18-05-2021 11:32,18-05-2021 18:16,trial phase,Monday,11.0,17.0,20,5.0,1905.0
6788.0,Working Professionals,Backend Program,Closed,2021-05-17 12:05:00,18-05-2021 18:46,17-05-2021 12:43,system-issues,Monday,12.0,17.0,20,5.0,1905.0
6773.0,Student,Fullstack Program,Resolved,2021-05-17 10:04:00,18-05-2021 22:17,18-05-2021 22:08,fullstack-phase-4,Monday,10.0,17.0,20,5.0,1906.0
6780.0,Student,Fullstack Program,Deleted,2021-05-17 11:16:00,17-05-2021 12:08,,fullstack-phase-2,Monday,11.0,17.0,20,5.0,1905.0
6782.0,Working Professionals,Fellowship Program,Duplicate,2021-05-17 11:35:00,18-05-2021 19:06,,fellowship-phase-1,Monday,11.0,17.0,20,5.0,1905.0
6783.0,Working Professionals,Fellowship Program,Closed,2021-05-17 11:36:00,18-05-2021 21:00,18-05-2021 18:19,fellowship-phase-1,Monday,11.0,17.0,20,5.0,1905.0
6784.0,Working Professionals,Fellowship Program,Duplicate,2021-05-17 11:38:00,18-05-2021 11:33,,fellowship-phase-1,Monday,11.0,17.0,20,5.0,1905.0
