Ticket Id,Status (Ticket),Ticket Closed Time,First Response Time
6839.0,Closed,18-05-2021 18:47,18-05-2021 18:18
6875.0,Closed,18-05-2021 23:35,18-05-2021 19:14
6945.0,Closed,20-05-2021 11:32,19-05-2021 19:07
6976.0,Closed,19-05-2021 23:04,19-05-2021 12:10
7001.0,Closed,19-05-2021 17:27,19-05-2021 14:19
7003.0,Duplicate,19-05-2021 17:28,19-05-2021 14:16
7012.0,Closed,19-05-2021 19:30,19-05-2021 14:32
7013.0,Duplicate,19-05-2021 17:29,19-05-2021 14:52
7074.0,Closed,20-05-2021 12:34,20-05-2021 11:50
7076.0,Closed,20-05-2021 13:16,20-05-2021 10:00
7085.0,Closed,21-05-2021 13:50,20-05-2021 15:09
7116.0,Closed,21-05-2021 17:42,20-05-2021 15:01
7125.0,Duplicate,20-05-2021 15:11,
7169.0,Waiting for user response,-,20-05-2021 23:00
7172.0,Waiting for user response,-,21-05-2021 11:19
6403.0,Closed,14-05-2021 19:04,14-05-2021 08:51
6413.0,Closed,14-05-2021 20:38,14-05-2021 19:05
6420.0,Closed,16-05-2021 00:09,14-05-2021 18:14
6425.0,Closed,17-05-2021 11:40,14-05-2021 15:06
6429.0,Closed,16-05-2021 12:43,14-05-2021 20:44
6432.0,Closed,16-05-2021 12:43,14-05-2021 20:46
6434.0,Duplicate,14-05-2021 20:47,
6461.0,Closed,14-05-2021 21:10,14-05-2021 16:33
6475.0,Closed,17-05-2021 11:44,14-05-2021 18:13
6478.0,Closed,16-05-2021 20:38,14-05-2021 21:01
6487.0,Closed,17-05-2021 11:44,14-05-2021 20:08
6502.0,Closed,14-05-2021 21:26,14-05-2021 20:29
6503.0,Closed,14-05-2021 21:06,14-05-2021 20:34
6518.0,Duplicate,14-05-2021 21:55,
6519.0,Closed,16-05-2021 12:37,14-05-2021 21:55
6530.0,Closed,16-05-2021 17:00,15-05-2021 14:27
6532.0,Closed,16-05-2021 21:08,15-05-2021 14:23
6533.0,Closed,16-05-2021 12:48,15-05-2021 11:59
6547.0,Closed,16-05-2021 12:48,16-05-2021 12:39
6553.0,Closed,17-05-2021 11:50,16-05-2021 12:07
6554.0,Deleted,15-05-2021 12:42,
6556.0,Closed,16-05-2021 12:32,15-05-2021 12:32
6561.0,Deleted,15-05-2021 13:52,
6623.0,Closed,18-05-2021 19:14,16-05-2021 14:59
6621.0,Closed,17-05-2021 11:52,16-05-2021 12:27
6636.0,Closed,17-05-2021 19:33,16-05-2021 12:09
6637.0,Closed,18-05-2021 22:08,18-05-2021 22:08
6646.0,Closed,18-05-2021 20:12,16-05-2021 12:10
6649.0,Closed,18-05-2021 23:27,18-05-2021 19:13
6661.0,Duplicate,16-05-2021 14:18,16-05-2021 14:18
6656.0,Closed,16-05-2021 21:42,16-05-2021 17:03
6653.0,Closed,16-05-2021 21:42,16-05-2021 12:11
6664.0,Closed,16-05-2021 21:40,16-05-2021 12:20
6666.0,Closed,16-05-2021 21:39,16-05-2021 15:01
6669.0,Closed,19-05-2021 10:12,18-05-2021 19:15
6672.0,Closed,17-05-2021 12:01,16-05-2021 18:53
6673.0,Closed,18-05-2021 19:13,16-05-2021 18:24
6680.0,Closed,16-05-2021 15:38,16-05-2021 15:06
6682.0,Closed,18-05-2021 19:13,16-05-2021 15:02
6683.0,Closed,16-05-2021 19:21,16-05-2021 18:38
6701.0,Closed,16-05-2021 16:59,16-05-2021 16:59
6702.0,Closed,16-05-2021 17:59,16-05-2021 17:18
6706.0,Deleted,16-05-2021 18:21,
6708.0,Closed,16-05-2021 19:17,16-05-2021 19:17
6713.0,Closed,16-05-2021 21:36,16-05-2021 19:25
6732.0,Deleted,16-05-2021 19:54,
6734.0,Deleted,16-05-2021 19:54,
6736.0,Closed,17-05-2021 12:07,16-05-2021 21:22
6750.0,Closed,18-05-2021 19:12,18-05-2021 19:13
6751.0,Closed,18-05-2021 11:27,18-05-2021 19:13
6752.0,Closed,18-05-2021 11:27,18-05-2021 19:13
6756.0,Closed,19-05-2021 10:57,18-05-2021 18:20
6761.0,Closed,18-05-2021 19:12,18-05-2021 18:19
6764.0,Closed,18-05-2021 15:09,18-05-2021 19:15
6766.0,Duplicate,19-05-2021 21:55,18-05-2021 18:20
6767.0,Closed,18-05-2021 23:29,18-05-2021 18:17
6825.0,Closed,18-05-2021 18:54,18-05-2021 19:25
6831.0,Closed,20-05-2021 21:34,18-05-2021 18:20
6833.0,Closed,19-05-2021 21:06,18-05-2021 18:20
6838.0,Closed,18-05-2021 18:22,18-05-2021 19:11
6836.0,Resolved,18-05-2021 22:09,18-05-2021 19:25
6842.0,Closed,18-05-2021 18:51,18-05-2021 18:19
6846.0,Closed,18-05-2021 18:58,18-05-2021 18:19
6853.0,Closed,18-05-2021 18:28,18-05-2021 19:25
